;;;;;;;Total Sexual Violence at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: Total ""Sexual violence” means rape and sexual assault, including Sexual Offences against Children. ";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;South-Eastern Asia;Indonesia;;;;;;;;;;5.102;4.850;5.499;;;;;;;;;;;2,1;1,9;2,2
;;Philippines;;;;1.311;1.410;1.506;1.601;2.176;1.744;1.792;;;;;;;1,5;1,6;1,7;1,7;2,3;1,8;1,9;;
;;Singapore;;;;1.398;1.468;1.403;1.475;1.579;1.546;1.553;1.445;1.536;;;;;30,3;31,0;28,9;29,7;31,1;29,8;29,3;26,7;27,9
;;Thailand;;;;;;;;1.916;1.538;1.345;1.228;1.219;;;;;;;;;2,9;2,3;2,0;1,8;1,8
;;Myanmar;;;;;;;227;246;285;238;360;;;;;;;;;0,4;0,5;0,5;0,5;0,7;
;Southern Asia;Bhutan;;;;;;40;68;71;65;76;64;81;;;;;;;5,8;9,6;9,9;8,9;10,2;8,5;10,6
;;India;;62.801;62.518;65.931;70.421;74.094;71.117;72.746;75.744;79.447;117.035;;;;5,6;5,5;5,7;6,0;6,2;5,9;5,9;6,1;6,3;9,1;
;;Maldives;;;;;342;469;564;523;642;577;573;;;;;;;108,4;146,1;172,6;157,3;189,6;167,3;163,2;
;;Sri Lanka;;;;;;745;773;882;827;895;979;;;;;;;;3,7;3,8;4,4;4,1;4,4;4,8;
;Western Asia;Armenia;;48;51;52;33;63;73;82;71;105;116;;;;1,6;1,7;1,7;1,1;2,1;2,5;2,8;2,4;3,5;3,9;
;;Azerbaijan;;;;;214;223;267;204;172;180;212;214;;;;;;2,4;2,5;3,0;2,2;1,9;1,9;2,2;2,2
;;Bahrain;;;;;145;175;;;;;;;;;;;;14,1;15,7;;;;;;
;;Cyprus;;137;112;101;128;97;78;79;77;69;47;51;;;13,5;10,8;9,6;12,0;9,0;7,2;7,2;6,9;6,1;4,1;4,4
;;Georgia;;98;164;229;215;202;163;165;;;;131;;;2,2;3,7;5,2;4,9;4,7;3,8;3,9;;;;3,2
;;Israel;;4.885;4.598;;4.630;4.497;;4.956;4.572;;;;;;75,5;69,6;;66,9;63,4;;66,8;60,4;;;
;;Kuwait;;393;372;422;421;421;509;;;;;;;;18,1;16,4;17,7;16,6;15,6;17,7;;;;;
;;Lebanon;;;;;;101;198;210;187;217;199;202;;;;;;;2,5;4,7;4,8;4,1;4,4;3,8;3,6
;;Oman;;;;;132;183;;;;;;;;;;;;5,1;6,9;;;;;;
;;State of Palestine;;;;;;26;147;177;174;120;133;;;;;;;;0,7;3,7;4,4;4,2;2,8;3,0;
;;Syrian Arab Republic;;;;;70;85;;;;;;;;;;;;0,4;0,4;;;;;;
;;Turkey;2.858;2.893;3.020;3.300;2.476;2.645;3.179;4.186;4.724;5.527;;;;4,3;4,3;4,5;4,8;3,6;3,8;4,5;5,8;6,4;7,4;;
;;United Arab Emirates;;;;;;;;;;207;353;382;;;;;;;;;;;2,3;3,9;4,2
;;Yemen;;;0;71;54;81;72;;;;;;;;;0,0;0,3;0,2;0,4;0,3;;;;;
Europe;Eastern Europe;Belarus;;775;819;672;684;527;509;366;344;439;483;451;;;8,0;8,5;7,0;7,2;5,5;5,4;3,9;3,6;4,6;5,1;4,7
;;Bulgaria;1.287;1.175;1.037;911;764;749;726;696;649;696;632;610;;16,5;15,2;13,5;11,9;10,1;10,0;9,7;9,4;8,8;9,5;8,7;8,5
;;Czech Republic;1.898;1.909;1.849;1.615;1.689;1.680;1.730;1.811;2.086;1.981;2.109;2.205;;18,6;18,7;18,1;15,7;16,3;16,2;16,5;17,2;19,8;18,8;20,0;20,9
;;Hungary*;560;772;858;653;643;2.527;1.462;1.292;809;1.355;5.974;773;;5,5;7,6;8,5;6,5;6,4;25,1;14,6;12,9;8,1;13,6;60,2;7,8
;;Poland;;;;;3.709;3.294;3.187;3.099;3.030;2.776;3.213;4.485;;;;;;9,6;8,6;8,3;8,0;7,9;7,2;8,3;11,6
;;Republic of Moldova;;471;393;389;423;474;402;557;461;617;608;648;;;11,3;9,5;9,4;10,2;11,5;9,8;13,6;11,3;15,1;14,9;15,9
;;Romania*;;;;;1.565;1.566;1.605;1.486;1.325;1.541;1.571;1.516;;;;;;7,5;7,6;7,8;7,3;6,6;7,7;7,9;7,7
;;Russian Federation;;16.381;18.491;20.914;20.182;18.852;17.903;15.770;16.647;14.268;13.142;14.686;;;11,4;12,9;14,6;14,1;13,2;12,5;11,0;11,6;10,0;9,2;10,2
;;Slovakia;;;;283;293;252;626;562;776;641;641;679;;;;;5,3;5,4;4,7;11,6;10,4;14,3;11,8;11,8;12,5
;;Ukraine;2.180;1.988;1.929;2.114;1.898;1.995;1.698;1.348;;;;;;4,6;4,2;4,1;4,5;4,1;4,3;3,7;3,0;;;;
;Northern Europe;Estonia;215;526;402;354;244;368;309;275;311;400;381;339;;15,7;38,6;29,7;26,2;18,2;27,5;23,1;20,6;23,4;30,2;28,9;25,8
;;Finland*;1.581;1.765;1.919;2.728;2.326;2.906;2.205;2.417;3.252;3.511;3.310;3.001;;30,3;33,8;36,6;51,8;44,0;54,7;41,3;45,0;60,3;64,7;60,7;54,8
;;Iceland;;;288;281;349;368;;;285;273;452;;;;;97,1;93,4;114,3;118,7;;;88,8;84,4;138,9;
;;Ireland;;1.752;1.801;1.415;1.366;1.406;1.480;2.366;2.014;2.116;2.010;2.065;;;42,5;42,8;33,0;31,1;31,4;32,5;51,2;43,3;45,3;43,0;44,2
;;Latvia*;305;648;721;328;460;416;315;231;198;326;452;553;;13,3;28,7;32,4;14,9;21,2;19,4;14,9;11,0;9,6;16,0;22,5;27,8
;;Lithuania;415;444;558;521;405;408;397;591;571;507;442;438;;12,2;13,1;16,7;15,8;12,4;12,7;12,5;18,9;18,6;16,8;14,9;15,0
;;Norway;1.996;1.952;1.960;2.176;2.235;2.296;2.410;2.448;2.661;2.625;2.500;2.657;;43,8;42,5;42,4;46,6;47,4;48,1;49,9;50,0;53,7;52,3;49,2;51,6
;;Sweden;10.142;10.419;11.711;12.147;12.563;14.678;16.038;17.557;17.521;17.358;18.189;21.267;;113,4;116,0;129,7;133,7;137,3;159,1;172,4;187,1;185,2;181,9;189,0;219,2
;;United Kingdom (England and Wales);48.732;47.542;47.163;43.738;41.521;40.923;43.698;45.363;44.580;46.118;56.578;78.575;;92,2;89,4;88,0;81,1;76,3;74,6;79,1;81,5;79,4;81,5;99,3;136,9
;;United Kingdom (Northern Ireland);1.461;1.262;1.410;1.496;1.448;1.579;1.501;1.632;1.664;1.694;1.908;2.327;;85,7;73,6;81,6;85,8;82,2;88,8;83,7;90,4;91,7;92,9;104,3;126,4
;;United Kingdom (Scotland)*;;7.324;6.558;6.726;6.552;6.331;6.527;5.167;5.520;6.015;6.925;7.393;;;144,1;128,3;131,0;126,7;121,7;124,8;98,2;104,2;113,2;130,0;138,2
;Southern Europe;Albania;;;89;87;101;76;83;79;44;44;87;97;;;;2,9;2,9;3,4;2,6;2,8;2,7;1,5;1,5;3,0;3,4
;;Andorra;;;;;10;15;6;10;17;18;18;16;;;;;;11,8;17,5;7,0;11,8;20,6;22,7;23,7;22,0
