;;;;;;;Theft at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: ""Theft” means depriving a person or organisation of property without force with the intent to keep it . “Theft” excludes Burglary, housebreaking, Robbery, and Theft of a Motor Vehicle, which are recorded separately.";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;Paraguay;;;;;;24.977;27.898;31.182;33.749;36.343;38.719;38.089;;;;;;;413,0;455,3;502,1;536,2;569,7;598,8;581,3
;;Peru;58.126;57.560;52.435;49.423;45.228;47.310;49.477;55.828;62.389;76.182;83.308;89.599;;215,8;211,0;189,9;176,8;159,9;165,2;170,6;190,1;209,6;252,6;272,6;289,3
;;Suriname;14.618;13.597;;;;;;;;;;;;2.997,7;2.778,8;;;;;;;;;;
;;Uruguay;96.606;105.690;;101.985;105.629;105.629;94.508;95.269;97.573;96.827;97.465;105.871;;2.904,9;3.179,5;;3.061,7;3.162,8;3.152,3;2.810,4;2.823,3;2.882,0;2.850,6;2.859,9;3.096,1
Asia;Central Asia;Kazakhstan;;;63.141;59.338;51.497;52.671;48.961;59.939;121.602;178.426;210.176;;;;;408,6;380,3;326,9;330,9;304,1;367,5;734,6;1.060,7;1.229,1;
;;Kyrgyzstan*;14.383;12.101;12.335;10.967;11.185;10.963;10.936;9.886;12.008;10.848;9.975;9.029;;284,8;238,3;241,1;212,3;213,9;206,8;203,3;180,9;216,2;192,1;173,6;154,5
;;Tajikistan;;3.331;3.558;3.156;3.734;3.233;3.465;3.559;3.669;;;;;;50,0;52,3;45,4;52,6;44,6;46,7;46,9;47,3;;;
;;Turkmenistan;;;1.662;1.431;;;;;;;;;;;;35,0;29,8;;;;;;;;
;Eastern Asia;Hong Kong Special Administrative Region of China;40.887;37.500;35.213;37.089;36.762;35.230;34.554;34.343;35.026;33.664;31.598;;;596,9;548,1;514,6;541,0;534,4;509,8;497,2;491,1;497,2;474,0;441,1;
;;Japan;;1.061.257;923.309;811.250;744.066;720.609;658.739;618.088;582.767;546.088;497.676;451.648;;;837,1;727,1;638,1;584,7;566,0;517,3;485,5;458,0;429,5;391,9;356,2
