;;;;;;;Kidnapping at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Kidnapping” means unlawfully detaining a person or persons against their will (including through the use of force, threat, fraud or enticement) for the purpose of demanding for their liberation an illicit gain or any other economic gain or other material benefit, or in order to oblige someone to do or not to do something. “Kidnapping” excludes disputes over child custody. ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;Mongolia;0;0;1;0;1;0;1;0;1;0;2;0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0
;;Republic of Korea;;;;127;155;259;298;222;256;195;188;198;;;;;0,3;0,3;0,5;0,6;0,5;0,5;0,4;0,4;0,4
;South-Eastern Asia;Brunei Darussalam;1;1;0;0;;;;;;;;;;0,3;0,3;0,0;0,0;;;;;;;;
;;Indonesia;;;;;;621;485;398;454;395;361;336;;;;;;;0,3;0,2;0,2;0,2;0,2;0,1;0,1
;;Philippines;90;42;44;28;35;46;35;21;11;29;;;;0,1;0,0;0,1;0,0;0,0;0,1;0,0;0,0;0,0;0,0;;
;;Singapore;3;0;0;1;0;0;0;0;0;;;;;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;
;;Thailand;;;12;11;21;16;5;8;9;9;12;19;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
;;Myanmar;;;;;;;;;39;37;3;;;;;;;;;;;0,1;0,1;0,0;
;Southern Asia;Bangladesh;;;1.303;1.119;;;;;;;;;;;;0,9;0,8;;;;;;;;
;;Bhutan;;;;;;;2;1;0;2;1;6;;;;;;;;0,3;0,1;0,0;0,3;0,1;0,8
;;India;;23.327;22.832;23.991;27.561;30.261;33.860;38.440;44.664;47.592;65.461;;;;2,1;2,0;2,1;2,3;2,5;2,8;3,1;3,6;3,8;5,1;
;;Maldives;;1;;;2;5;14;26;19;17;8;;;;0,3;;;0,6;1,6;4,3;7,8;5,6;4,9;2,3;
;;Nepal;;;123;246;;;;;;;;;;;;0,5;1,0;;;;;;;;
;;Sri Lanka;829;868;;;;526;358;202;180;222;195;;;4,3;4,5;;;;2,6;1,8;1,0;0,9;1,1;1,0;
;Western Asia;Armenia;;23;22;26;26;27;34;39;34;38;;;;;0,8;0,7;0,9;0,9;0,9;1,1;1,3;1,1;1,3;;
;;Azerbaijan;28;23;29;21;19;20;9;3;0;1;9;4;;0,3;0,3;0,3;0,2;0,2;0,2;0,1;0,0;0,0;0,0;0,1;0,0
;;Bahrain;5;18;12;21;0;;;;;;;;;0,7;2,2;1,4;2,2;0,0;;;;;;;
;;Cyprus;20;15;16;15;10;12;26;27;25;30;19;21;;2,0;1,5;1,5;1,4;0,9;1,1;2,4;2,4;2,2;2,7;1,7;1,8
;;Georgia;94;;88;34;11;5;9;4;;;;;;2,1;;2,0;0,8;0,3;0,1;0,2;0,1;;;;
;;Israel;;397;418;383;337;340;;267;265;;;;;;6,1;6,3;5,7;4,9;4,8;;3,6;3,5;;;
;;Jordan;;;28;34;;;;;;;;;;;;0,5;0,6;;;;;;;;
;;Kuwait;;285;280;278;329;327;358;;;;;;;;13,2;12,4;11,6;13,0;12,1;12,4;;;;;
;;Lebanon;;;;;;899;573;559;653;910;1.214;1.031;;;;;;;21,9;13,7;12,9;14,2;18,5;23,0;18,4
;;Oman;;;;;13;9;;;;;;;;;;;;0,5;0,3;;;;;;
;;Qatar;7;6;;;;;;;;;;;;1,0;0,8;;;;;;;;;;
;;State of Palestine*;126;167;202;;;83;23;21;24;12;;;;3,7;4,8;5,6;;;2,2;0,6;0,5;0,6;0,3;;
;;Syrian Arab Republic;85;135;42;54;15;24;;;;;;;;0,5;0,8;0,2;0,3;0,1;0,1;;;;;;
;;Turkey;7.753;7.624;8.737;10.519;9.455;10.764;12.700;13.586;13.584;13.431;;;;11,7;11,4;12,9;15,3;13,6;15,3;17,8;18,8;18,5;17,9;;
;;United Arab Emirates;434;506;862;971;;;;;;73;94;69;;12,0;12,7;19,2;18,8;;;;;;0,8;1,0;0,8
;;Yemen;;;102;27;26;48;41;;;;;;;;;0,5;0,1;0,1;0,2;0,2;;;;;
;;Iraq (Central Iraq);;;;;;1.433;1.657;1.389;1.020;820;783;1.119;;;;;;;;;;;;;
Europe;Eastern Europe;Belarus;30;34;36;23;31;19;16;19;12;6;13;31;;0,3;0,4;0,4;0,2;0,3;0,2;0,2;0,2;0,1;0,1;0,1;0,3
;;Bulgaria;209;192;190;125;138;127;142;118;77;75;87;95;;2,7;2,5;2,5;1,6;1,8;1,7;1,9;1,6;1,0;1,0;1,2;1,3
;;Czech Republic;14;15;13;16;15;8;7;10;8;8;11;12;;0,1;0,1;0,1;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
;;Hungary;36;19;7;13;7;11;14;18;12;9;7;3;;0,4;0,2;0,1;0,1;0,1;0,1;0,1;0,2;0,1;0,1;0,1;0,0
;;Poland;110;117;22;23;25;37;59;26;11;27;445;292;;0,3;0,3;0,1;0,1;0,1;0,1;0,2;0,1;0,0;0,1;1,2;0,8
;;Republic of Moldova;;;16;18;20;19;16;38;51;92;116;88;;;;0,4;0,4;0,5;0,5;0,4;0,9;1,3;2,3;2,8;2,2
;;Romania*;321;272;280;289;287;265;;;;;;;;1,5;1,3;1,3;1,4;1,4;1,3;;;;;;
;;Russian Federation;;1.117;1.135;994;837;698;633;519;520;512;442;369;;;0,8;0,8;0,7;0,6;0,5;0,4;0,4;0,4;0,4;0,3;0,3
