Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
Iceland,2002,Female,Not applicable,Number,1349
Iceland,2002,All genders,Not applicable,Number,2195
Iceland,2001,All genders,Not applicable,Number,2066
Iceland,2001,Female,Not applicable,Number,1284
Iceland,2000,Female,Not applicable,Number,1146
Iceland,2000,All genders,Not applicable,Number,1779
Iceland,1999,All genders,Not applicable,Number,1630
Iceland,1999,Female,Not applicable,Number,1018
India,2013,Female,Not applicable,Number,4344684
India,2013,All genders,Not applicable,Number,8846030
Indonesia,2014,All genders,Not applicable,Number,948638
Indonesia,2014,Female,Not applicable,Number,494665
Indonesia,2012,All genders,Not applicable,Number,867822
Indonesia,2010,All genders,Not applicable,Number,811455
Indonesia,2009,All genders,Not applicable,Number,799368
Indonesia,2006,All genders,Not applicable,Number,492802
Indonesia,2004,Female,Not applicable,Number,294810
Indonesia,2004,All genders,Not applicable,Number,612975
Indonesia,2003,All genders,Not applicable,Number,552660
Indonesia,2003,Female,Not applicable,Number,254105
Indonesia,2002,Female,Not applicable,Number,228836
Indonesia,2002,All genders,Not applicable,Number,506124
Indonesia,2001,All genders,Not applicable,Number,476971
Indonesia,2001,Female,Not applicable,Number,217014
Iran,2014,All genders,Not applicable,Number,718801
Iran,2014,Female,Not applicable,Number,324027
Iran,2013,Female,Not applicable,Number,326753
Iran,2013,All genders,Not applicable,Number,716096
Iran,2012,All genders,Not applicable,Number,570730
Iran,2012,Female,Not applicable,Number,219621
Iran,2011,Female,Not applicable,Number,243970
Iran,2011,All genders,Not applicable,Number,607121
Iran,2009,All genders,Not applicable,Number,457574
Iran,2009,Female,Not applicable,Number,237825
Iran,2007,Female,Not applicable,Number,171299
Iran,2007,All genders,Not applicable,Number,340246
Iran,2006,All genders,Not applicable,Number,357031
Iran,2006,Female,Not applicable,Number,178209
Iran,2005,Female,Not applicable,Number,171299
Iran,2005,All genders,Not applicable,Number,340246
Iran,2004,All genders,Not applicable,Number,283162
Iran,2004,Female,Not applicable,Number,131883
Iran,2003,Female,Not applicable,Number,103962
Iran,2003,All genders,Not applicable,Number,230236
Iraq,2004,Female,Not applicable,Number,29108
Iraq,2004,All genders,Not applicable,Number,87849
Iraq,2000,All genders,Not applicable,Number,54655
Iraq,2000,Female,Not applicable,Number,19895
Ireland,2012,All genders,Not applicable,Number,60022
Ireland,2012,Female,Not applicable,Number,32741
Ireland,2010,Female,Not applicable,Number,32252
Ireland,2010,All genders,Not applicable,Number,58837
Ireland,2009,All genders,Not applicable,Number,57834
Ireland,2009,Female,Not applicable,Number,32879
Ireland,2008,Female,Not applicable,Number,33805
Ireland,2008,All genders,Not applicable,Number,60074
Ireland,2007,All genders,Not applicable,Number,59011
Ireland,2007,Female,Not applicable,Number,33382
Ireland,2006,Female,Not applicable,Number,33173
Ireland,2006,All genders,Not applicable,Number,59184
Ireland,2005,All genders,Not applicable,Number,59650
Ireland,2005,Female,Not applicable,Number,33195
Ireland,2004,Female,Not applicable,Number,31843
Ireland,2004,All genders,Not applicable,Number,55852
Ireland,2003,All genders,Not applicable,Number,53808
Ireland,2003,Female,Not applicable,Number,31010
Ireland,2002,Female,Not applicable,Number,25716
Ireland,2002,All genders,Not applicable,Number,45028
Ireland,2001,All genders,Not applicable,Number,45818
Ireland,2001,Female,Not applicable,Number,25651
Ireland,2000,Female,Not applicable,Number,23133
Ireland,2000,All genders,Not applicable,Number,42009
Ireland,1999,All genders,Not applicable,Number,42652
Ireland,1999,Female,Not applicable,Number,23570
Israel,2000,Female,Not applicable,Number,35730
Israel,2000,All genders,Not applicable,Number,62363
Israel,1999,All genders,Not applicable,Number,68594
Israel,1999,Female,Not applicable,Number,34606
Italy,2012,All genders,Not applicable,Number,374994
Italy,2012,Female,Not applicable,Number,233476
Italy,2011,Female,Not applicable,Number,235003
Italy,2011,All genders,Not applicable,Number,388837
Italy,2008,All genders,Not applicable,Number,398194
Italy,2008,Female,Not applicable,Number,236815
Italy,2007,Female,Not applicable,Number,238471
Italy,2007,All genders,Not applicable,Number,400021
Italy,2006,All genders,Not applicable,Number,400860
Italy,2006,Female,Not applicable,Number,237361
Italy,2005,Female,Not applicable,Number,222574
Italy,2005,All genders,Not applicable,Number,379933
Italy,2004,All genders,Not applicable,Number,326500
Italy,2004,Female,Not applicable,Number,189540
Italy,2003,Female,Not applicable,Number,165188
Italy,2003,All genders,Not applicable,Number,290340
Italy,2002,All genders,Not applicable,Number,248710
Italy,2002,Female,Not applicable,Number,141103
Italy,2001,Female,Not applicable,Number,124884
Italy,2001,All genders,Not applicable,Number,218041
Italy,2000,All genders,Not applicable,Number,202309
Italy,2000,Female,Not applicable,Number,113024
Italy,1999,Female,Not applicable,Number,106555
Italy,1999,All genders,Not applicable,Number,190280
Jamaica,2009,All genders,Not applicable,Number,25477
Jamaica,2009,Female,Not applicable,Number,14363
Japan,2014,All genders,Not applicable,Number,980726
Japan,2014,Female,Not applicable,Number,480055
Japan,2013,Female,Not applicable,Number,476777
Japan,2013,All genders,Not applicable,Number,977214
Japan,2012,All genders,Not applicable,Number,980902
Japan,2012,Female,Not applicable,Number,473821
Japan,2011,Female,Not applicable,Number,469129
Japan,2011,All genders,Not applicable,Number,968807
Japan,2010,All genders,Not applicable,Number,966635
Japan,2010,Female,Not applicable,Number,468985
Japan,2009,Female,Not applicable,Number,490085
Japan,2009,All genders,Not applicable,Number,1014795
Japan,2008,All genders,Not applicable,Number,1033774
Japan,2008,Female,Not applicable,Number,501361
Japan,2007,Female,Not applicable,Number,518953
Japan,2007,All genders,Not applicable,Number,1062444
Japan,2006,All genders,Not applicable,Number,1067939
Japan,2006,Female,Not applicable,Number,526070
Japan,2005,Female,Not applicable,Number,523363
Japan,2005,All genders,Not applicable,Number,1059386
Japan,2004,Female,Not applicable,Number,518410
Japan,2004,All genders,Not applicable,Number,1051262
Japan,2003,All genders,Not applicable,Number,1040354
Japan,2003,Female,Not applicable,Number,509916
Japan,2002,Female,Not applicable,Number,511822
Japan,2002,All genders,Not applicable,Number,1047890
Japan,2001,All genders,Not applicable,Number,1067878
Japan,2001,Female,Not applicable,Number,527614
Japan,2000,Female,Not applicable,Number,537527
Japan,2000,All genders,Not applicable,Number,1081435
Japan,1999,All genders,Not applicable,Number,1113328
Japan,1999,Female,Not applicable,Number,557983
Jordan,2012,Female,Not applicable,Number,29092
Jordan,2012,All genders,Not applicable,Number,62168
Jordan,2011,All genders,Not applicable,Number,60686
Jordan,2011,Female,Not applicable,Number,29377
Jordan,2007,Female,Not applicable,Number,27185
Jordan,2007,All genders,Not applicable,Number,49574
Jordan,2006,All genders,Not applicable,Number,47110
Jordan,2006,Female,Not applicable,Number,25281
Jordan,2005,Female,Not applicable,Number,23848
Jordan,2005,All genders,Not applicable,Number,42294
Jordan,2004,All genders,Not applicable,Number,37825
Jordan,2004,Female,Not applicable,Number,19750
Jordan,2003,Female,Not applicable,Number,21122
Jordan,2003,All genders,Not applicable,Number,36963
Jordan,2000,All genders,Not applicable,Number,31329
Jordan,2000,Female,Not applicable,Number,16803
Kazakhstan,2015,Female,Not applicable,Number,131695
Kazakhstan,2015,All genders,Not applicable,Number,241472
Kazakhstan,2014,All genders,Not applicable,Number,238013
Kazakhstan,2014,Female,Not applicable,Number,132746
Kazakhstan,2013,All genders,Not applicable,Number,238220
Kazakhstan,2013,Female,Not applicable,Number,134018
Kenya,2001,Female,Not applicable,Number,14479
Kenya,2001,All genders,Not applicable,Number,38683
Kenya,2000,All genders,Not applicable,Number,27767
Kenya,2000,Female,Not applicable,Number,10097
Kiribati,2012,All genders,Not applicable,Number,0
Kiribati,2012,Female,Not applicable,Number,0
Kiribati,2008,Female,Not applicable,Number,0
Kiribati,2008,All genders,Not applicable,Number,0
Kuwait,2013,All genders,Not applicable,Number,12716
Kuwait,2013,Female,Not applicable,Number,7411
Kyrgyzstan,2013,All genders,Not applicable,Number,50228
Kyrgyzstan,2013,Female,Not applicable,Number,30204
Kyrgyzstan,2012,Female,Not applicable,Number,30652
Kyrgyzstan,2012,All genders,Not applicable,Number,49945
Kyrgyzstan,2011,All genders,Not applicable,Number,45420
Kyrgyzstan,2011,Female,Not applicable,Number,27238
Kyrgyzstan,2010,Female,Not applicable,Number,27429
Kyrgyzstan,2010,All genders,Not applicable,Number,45283
Kyrgyzstan,2009,All genders,Not applicable,Number,44268
Kyrgyzstan,2009,Female,Not applicable,Number,27066
Kyrgyzstan,2008,Female,Not applicable,Number,21645
Kyrgyzstan,2008,All genders,Not applicable,Number,35578
Kyrgyzstan,2007,All genders,Not applicable,Number,31321
Kyrgyzstan,2007,Female,Not applicable,Number,17499
Kyrgyzstan,2006,Female,Not applicable,Number,18399
Kyrgyzstan,2006,All genders,Not applicable,Number,32577
Kyrgyzstan,2005,All genders,Not applicable,Number,33331
Kyrgyzstan,2005,Female,Not applicable,Number,18927
Kyrgyzstan,2004,Female,Not applicable,Number,17338
Kyrgyzstan,2004,All genders,Not applicable,Number,31546
Kyrgyzstan,2003,All genders,Not applicable,Number,26651
Kyrgyzstan,2003,Female,Not applicable,Number,15565
Kyrgyzstan,2002,Female,Not applicable,Number,12963
Kyrgyzstan,2002,All genders,Not applicable,Number,22953
Kyrgyzstan,2001,All genders,Not applicable,Number,18292
Kyrgyzstan,2001,Female,Not applicable,Number,9697
Kyrgyzstan,1999,Female,Not applicable,Number,6535
Kyrgyzstan,1999,All genders,Not applicable,Number,12943
Lao People's Democratic Republic,2014,All genders,Not applicable,Number,26508
Lao People's Democratic Republic,2014,Female,Not applicable,Number,12455
Lao People's Democratic Republic,2013,Female,Not applicable,Number,16968
Lao People's Democratic Republic,2013,All genders,Not applicable,Number,37384
Lao People's Democratic Republic,2012,All genders,Not applicable,Number,31496
Lao People's Democratic Republic,2012,Female,Not applicable,Number,13972
Lao People's Democratic Republic,2011,Female,Not applicable,Number,14909
Lao People's Democratic Republic,2011,All genders,Not applicable,Number,34673
Lao People's Democratic Republic,2009,All genders,Not applicable,Number,18988
Lao People's Democratic Republic,2009,Female,Not applicable,Number,8036
Lao People's Democratic Republic,2006,Female,Not applicable,Number,2780
Lao People's Democratic Republic,2006,All genders,Not applicable,Number,7370
Lao People's Democratic Republic,2005,All genders,Not applicable,Number,5220
Lao People's Democratic Republic,2005,Female,Not applicable,Number,1756
Lao People's Democratic Republic,2004,Female,Not applicable,Number,1625
Lao People's Democratic Republic,2004,All genders,Not applicable,Number,4342
Lao People's Democratic Republic,2003,All genders,Not applicable,Number,5154
Lao People's Democratic Republic,2003,Female,Not applicable,Number,1772
Lao People's Democratic Republic,2001,Female,Not applicable,Number,998
Lao People's Democratic Republic,2001,All genders,Not applicable,Number,2924
Lao People's Democratic Republic,2000,All genders,Not applicable,Number,1964
Lao People's Democratic Republic,2000,Female,Not applicable,Number,629
Lao People's Democratic Republic,1999,Female,Not applicable,Number,776
Lao People's Democratic Republic,1999,All genders,Not applicable,Number,2388
Latvia,2014,All genders,Not applicable,Number,17345
Latvia,2014,Female,Not applicable,Number,11305
Latvia,2013,Female,Not applicable,Number,14910
Latvia,2013,All genders,Not applicable,Number,21610
Latvia,2012,All genders,Not applicable,Number,21472
Latvia,2012,Female,Not applicable,Number,14493
Latvia,2011,Female,Not applicable,Number,17423
Latvia,2011,All genders,Not applicable,Number,24853
Latvia,2010,All genders,Not applicable,Number,26545
Latvia,2010,Female,Not applicable,Number,18930
Latvia,2009,Female,Not applicable,Number,18565
Latvia,2009,All genders,Not applicable,Number,26007
Latvia,2008,All genders,Not applicable,Number,24170
Latvia,2008,Female,Not applicable,Number,17289
Latvia,2007,Female,Not applicable,Number,19231
Latvia,2007,All genders,Not applicable,Number,26752
Latvia,2006,All genders,Not applicable,Number,26414
Latvia,2006,Female,Not applicable,Number,18656
Latvia,2005,Female,Not applicable,Number,18428
Latvia,2005,All genders,Not applicable,Number,26124
Latvia,2004,All genders,Not applicable,Number,23852
Latvia,2004,Female,Not applicable,Number,16511
Latvia,2003,Female,Not applicable,Number,14332
Latvia,2003,All genders,Not applicable,Number,20763
Latvia,2002,All genders,Not applicable,Number,18917
Latvia,2002,Female,Not applicable,Number,13133
Latvia,2001,Female,Not applicable,Number,11251
Latvia,2001,All genders,Not applicable,Number,20308
Latvia,2000,All genders,Not applicable,Number,15260
Latvia,2000,Female,Not applicable,Number,9676
Latvia,1999,Female,Not applicable,Number,8353
Latvia,1999,All genders,Not applicable,Number,12511
Lebanon,2011,All genders,Not applicable,Number,34007
Lebanon,2011,Female,Not applicable,Number,19111
Lebanon,2010,Female,Not applicable,Number,19292
Lebanon,2010,All genders,Not applicable,Number,34608
Lebanon,2009,All genders,Not applicable,Number,34907
Lebanon,2009,Female,Not applicable,Number,19927
Lebanon,2008,Female,Not applicable,Number,17866
Lebanon,2008,All genders,Not applicable,Number,32297
Lebanon,2007,All genders,Not applicable,Number,32168
Lebanon,2007,Female,Not applicable,Number,17524
Lebanon,2006,Female,Not applicable,Number,16543
Lebanon,2006,All genders,Not applicable,Number,30462
Lebanon,2005,All genders,Not applicable,Number,25700
Lebanon,2005,Female,Not applicable,Number,13787
Lebanon,2004,Female,Not applicable,Number,12681
Lebanon,2004,All genders,Not applicable,Number,23681
Lebanon,2003,All genders,Not applicable,Number,21747
Lebanon,2003,Female,Not applicable,Number,11349
Lebanon,2002,Female,Not applicable,Number,9482
Lebanon,2002,All genders,Not applicable,Number,17335
Lebanon,2001,All genders,Not applicable,Number,16414
Lebanon,2001,Female,Not applicable,Number,8758
Lebanon,2000,Female,Not applicable,Number,7324
Lebanon,2000,All genders,Not applicable,Number,14393
Lesotho,2014,Female,Not applicable,Number,3378
Lesotho,2014,All genders,Not applicable,Number,5363
Lesotho,2013,All genders,Not applicable,Number,4747
Lesotho,2013,Female,Not applicable,Number,3097
Lesotho,2012,Female,Not applicable,Number,3968
Lesotho,2012,All genders,Not applicable,Number,6461
Lesotho,2003,All genders,Not applicable,Number,1319
Lesotho,2002,All genders,Not applicable,Number,837
Lesotho,2001,All genders,Not applicable,Number,1095
Lesotho,2000,All genders,Not applicable,Number,822
Lesotho,1999,All genders,Not applicable,Number,1190
Liberia,2012,All genders,Not applicable,Number,4390
Liberia,2012,Female,Not applicable,Number,1675
Liberia,2010,Female,Not applicable,Number,949
Liberia,2010,All genders,Not applicable,Number,3161
Liberia,2000,All genders,Not applicable,Number,7034
Liberia,2000,Female,Not applicable,Number,3252
Liechtenstein,2014,Female,Not applicable,Number,89
Liechtenstein,2014,All genders,Not applicable,Number,271
Liechtenstein,2012,All genders,Not applicable,Number,311
Liechtenstein,2012,Female,Not applicable,Number,94
Liechtenstein,2011,Female,Not applicable,Number,74
Liechtenstein,2011,All genders,Not applicable,Number,254
Liechtenstein,2010,All genders,Not applicable,Number,200
Liechtenstein,2010,Female,Not applicable,Number,75
Liechtenstein,2009,Female,Not applicable,Number,59
Liechtenstein,2009,All genders,Not applicable,Number,212
Liechtenstein,2008,All genders,Not applicable,Number,176
Liechtenstein,2008,Female,Not applicable,Number,53
Liechtenstein,2007,Female,Not applicable,Number,47
Liechtenstein,2007,All genders,Not applicable,Number,146
Liechtenstein,2006,All genders,Not applicable,Number,132
Liechtenstein,2006,Female,Not applicable,Number,33
Liechtenstein,2005,Female,Not applicable,Number,33
Liechtenstein,2005,All genders,Not applicable,Number,132
Liechtenstein,2004,All genders,Not applicable,Number,73
Liechtenstein,2004,Female,Not applicable,Number,17
Liechtenstein,2003,Female,Not applicable,Number,15
Liechtenstein,2003,All genders,Not applicable,Number,61
Lithuania,2013,All genders,Not applicable,Number,39265
Lithuania,2013,Female,Not applicable,Number,24869
Lithuania,2012,Female,Not applicable,Number,27069
Lithuania,2012,All genders,Not applicable,Number,42379
Lithuania,2011,All genders,Not applicable,Number,43419
Lithuania,2011,Female,Not applicable,Number,28020
Lithuania,2010,Female,Not applicable,Number,29573
Lithuania,2010,All genders,Not applicable,Number,45032
Lithuania,2009,All genders,Not applicable,Number,44658
Lithuania,2009,Female,Not applicable,Number,29490
Lithuania,2008,Female,Not applicable,Number,28394
Lithuania,2008,All genders,Not applicable,Number,42547
Lithuania,2007,All genders,Not applicable,Number,43153
Lithuania,2007,Female,Not applicable,Number,28767
Lithuania,2006,Female,Not applicable,Number,28659
Lithuania,2006,All genders,Not applicable,Number,43343
Lithuania,2005,Female,Not applicable,Number,27537
Lithuania,2005,All genders,Not applicable,Number,41466
Lithuania,2004,All genders,Not applicable,Number,38095
Lithuania,2004,Female,Not applicable,Number,25323
Lithuania,2003,Female,Not applicable,Number,22543
Lithuania,2003,All genders,Not applicable,Number,34454
Lithuania,2002,All genders,Not applicable,Number,29753
Lithuania,2002,Female,Not applicable,Number,19169
Lithuania,2001,Female,Not applicable,Number,17451
Lithuania,2001,All genders,Not applicable,Number,27471
Lithuania,2000,All genders,Not applicable,Number,25241
Lithuania,2000,Female,Not applicable,Number,15811
Lithuania,1999,Female,Not applicable,Number,13735
Lithuania,1999,All genders,Not applicable,Number,21856
Luxembourg,2014,All genders,Not applicable,Number,1847
Luxembourg,2014,Female,Not applicable,Number,1014
Luxembourg,2013,Female,Not applicable,Number,841
Luxembourg,2013,All genders,Not applicable,Number,1569
Luxembourg,2012,All genders,Not applicable,Number,1289
Luxembourg,2012,Female,Not applicable,Number,747
Luxembourg,2008,Female,Not applicable,Number,167
Luxembourg,2008,All genders,Not applicable,Number,338
Luxembourg,2000,All genders,Not applicable,Number,680
Macao Special Administrative Region of China,2014,All genders,Not applicable,Number,6561
Macao Special Administrative Region of China,2014,Female,Not applicable,Number,3931
Macao Special Administrative Region of China,2013,Female,Not applicable,Number,3639
Macao Special Administrative Region of China,2013,All genders,Not applicable,Number,6074
Macao Special Administrative Region of China,2012,All genders,Not applicable,Number,6047
Macao Special Administrative Region of China,2012,Female,Not applicable,Number,3649
Macao Special Administrative Region of China,2011,Female,Not applicable,Number,3245
Macao Special Administrative Region of China,2011,All genders,Not applicable,Number,5525
Macao Special Administrative Region of China,2010,All genders,Not applicable,Number,7435
Macao Special Administrative Region of China,2010,Female,Not applicable,Number,3859
Macao Special Administrative Region of China,2009,Female,Not applicable,Number,3521
Macao Special Administrative Region of China,2009,All genders,Not applicable,Number,7150
Macao Special Administrative Region of China,2008,All genders,Not applicable,Number,6786
Macao Special Administrative Region of China,2008,Female,Not applicable,Number,3297
Macao Special Administrative Region of China,2007,Female,Not applicable,Number,3262
Macao Special Administrative Region of China,2007,All genders,Not applicable,Number,6976
Macao Special Administrative Region of China,2006,All genders,Not applicable,Number,6014
Macao Special Administrative Region of China,2006,Female,Not applicable,Number,2794
Macao Special Administrative Region of China,2005,Female,Not applicable,Number,2660
Macao Special Administrative Region of China,2005,All genders,Not applicable,Number,6210
Macao Special Administrative Region of China,2004,All genders,Not applicable,Number,9332
Macao Special Administrative Region of China,2003,All genders,Not applicable,Number,7829
Macao Special Administrative Region of China,2002,All genders,Not applicable,Number,5059
Macao Special Administrative Region of China,2002,Female,Not applicable,Number,1964
Macao Special Administrative Region of China,2001,All genders,Not applicable,Number,4809
Macao Special Administrative Region of China,2000,All genders,Not applicable,Number,1956
Macao Special Administrative Region of China,2000,Female,Not applicable,Number,912
Madagascar,2013,All genders,Not applicable,Number,25264
Madagascar,2013,Female,Not applicable,Number,12103
Madagascar,2010,Female,Not applicable,Number,7995
Madagascar,2010,All genders,Not applicable,Number,15721
Madagascar,2009,All genders,Not applicable,Number,15656
Madagascar,2009,Female,Not applicable,Number,7466
Madagascar,2008,Female,Not applicable,Number,7784
Madagascar,2008,All genders,Not applicable,Number,16395
Madagascar,2007,All genders,Not applicable,Number,13176
Madagascar,2007,Female,Not applicable,Number,6384
Madagascar,2006,Female,Not applicable,Number,5007
Madagascar,2006,All genders,Not applicable,Number,10109
Madagascar,2005,All genders,Not applicable,Number,10464
Madagascar,2005,Female,Not applicable,Number,4959
Malawi,2007,Female,Not applicable,Number,448
Malawi,2007,All genders,Not applicable,Number,1299
Malawi,2005,All genders,Not applicable,Number,1530
Malawi,2005,Female,Not applicable,Number,528
Malawi,2004,Female,Not applicable,Number,357
Malawi,2004,All genders,Not applicable,Number,1034
Malawi,2003,All genders,Not applicable,Number,1054
Malawi,2002,All genders,Not applicable,Number,1048
Malawi,2002,Female,Not applicable,Number,361
Malawi,2001,All genders,Not applicable,Number,774
Malawi,2000,Female,Not applicable,Number,296
Malawi,2000,All genders,Not applicable,Number,857
Malaysia,2014,All genders,Not applicable,Number,190453
Malaysia,2014,Female,Not applicable,Number,112474
Malaysia,2013,Female,Not applicable,Number,140596
Malaysia,2013,All genders,Not applicable,Number,237217
Malaysia,2012,All genders,Not applicable,Number,261819
Malaysia,2012,Female,Not applicable,Number,148183
Malaysia,2011,Female,Not applicable,Number,119493
Malaysia,2011,All genders,Not applicable,Number,204782
Malaysia,2010,All genders,Not applicable,Number,226303
Malaysia,2010,Female,Not applicable,Number,135217
Malaysia,2009,All genders,Not applicable,Number,226808
Malaysia,2009,Female,Not applicable,Number,134656
Malaysia,2008,Female,Not applicable,Number,121132
Malaysia,2008,All genders,Not applicable,Number,206588
Malaysia,2007,Female,Not applicable,Number,103237
Malaysia,2007,All genders,Not applicable,Number,181404
Malaysia,2006,All genders,Not applicable,Number,208998
Malaysia,2006,Female,Not applicable,Number,118444
Malaysia,2005,Female,Not applicable,Number,104463
Malaysia,2005,All genders,Not applicable,Number,183940
Malaysia,2004,All genders,Not applicable,Number,202705
Malaysia,2004,Female,Not applicable,Number,112405
Malaysia,2003,Female,Not applicable,Number,108237
Malaysia,2003,All genders,Not applicable,Number,196352
Malaysia,2002,All genders,Not applicable,Number,175417
Malaysia,2002,Female,Not applicable,Number,91010
Malaysia,1999,Female,Not applicable,Number,64330
Malaysia,1999,All genders,Not applicable,Number,125337
Maldives,2003,Female,Not applicable,Number,0
Maldives,2003,All genders,Not applicable,Number,0
Maldives,2002,All genders,Not applicable,Number,0
Maldives,2002,Female,Not applicable,Number,0
Maldives,2001,Female,Not applicable,Number,0
Maldives,2001,All genders,Not applicable,Number,0
Maldives,2000,All genders,Not applicable,Number,0
Maldives,2000,Female,Not applicable,Number,0
Maldives,1999,Female,Not applicable,Number,0
Maldives,1999,All genders,Not applicable,Number,0
Malta,2012,All genders,Not applicable,Number,3463
Malta,2012,Female,Not applicable,Number,1989
Malta,2011,All genders,Not applicable,Number,3393
Malta,2011,Female,Not applicable,Number,1868
Malta,2010,Female,Not applicable,Number,1788
Malta,2010,All genders,Not applicable,Number,3049
Malta,2009,All genders,Not applicable,Number,2844
Malta,2009,Female,Not applicable,Number,1694
Malta,2008,Female,Not applicable,Number,1658
Malta,2008,All genders,Not applicable,Number,2792
Malta,2007,All genders,Not applicable,Number,2729
Malta,2007,Female,Not applicable,Number,1565
Malta,2006,Female,Not applicable,Number,1552
Malta,2006,All genders,Not applicable,Number,2676
Malta,2005,All genders,Not applicable,Number,2741
Malta,2005,Female,Not applicable,Number,1662
Malta,2004,Female,Not applicable,Number,1229
Malta,2004,All genders,Not applicable,Number,2145
Malta,2003,All genders,Not applicable,Number,2048
Malta,2003,Female,Not applicable,Number,1121
Malta,2002,Female,Not applicable,Number,972
Malta,2002,All genders,Not applicable,Number,1868
Malta,2001,All genders,Not applicable,Number,2003
Malta,2001,Female,Not applicable,Number,1042
Malta,2000,Female,Not applicable,Number,1021
Malta,2000,All genders,Not applicable,Number,1978
Malta,1999,All genders,Not applicable,Number,1691
Malta,1999,Female,Not applicable,Number,912
Marshall Islands,2012,All genders,Not applicable,Number,121
Marshall Islands,2012,Female,Not applicable,Number,56
Mauritania,2015,Female,Not applicable,Number,1051
Mauritania,2015,All genders,Not applicable,Number,2770
Mauritania,2005,All genders,Not applicable,Number,2602
Mauritania,2005,Female,Not applicable,Number,645
Mauritius,2014,All genders,Not applicable,Number,5621
Mauritius,2014,Female,Not applicable,Number,3306
Mexico,2012,All genders,Not applicable,Number,533867
Mexico,2012,Female,Not applicable,Number,285455
Mexico,2011,Female,Not applicable,Number,268759
Mexico,2011,All genders,Not applicable,Number,499303
Mexico,2010,All genders,Not applicable,Number,465813
Mexico,2010,Female,Not applicable,Number,253506
Mexico,2009,Female,Not applicable,Number,245276
Mexico,2009,All genders,Not applicable,Number,451929
Mexico,2008,All genders,Not applicable,Number,420479
Mexico,2008,Female,Not applicable,Number,228202
Mexico,2007,Female,Not applicable,Number,227012
Mexico,2007,All genders,Not applicable,Number,422267
Mexico,2006,All genders,Not applicable,Number,414838
Mexico,2006,Female,Not applicable,Number,222831
Mexico,2005,Female,Not applicable,Number,207740
Mexico,2005,All genders,Not applicable,Number,380413
Mexico,2004,All genders,Not applicable,Number,345528
Mexico,2004,Female,Not applicable,Number,175833
Mexico,2003,All genders,Not applicable,Number,339450
Mexico,2003,Female,Not applicable,Number,176327
Mexico,2002,Female,Not applicable,Number,176995
Mexico,2002,All genders,Not applicable,Number,339337
Mexico,2001,All genders,Not applicable,Number,311937
Mexico,2001,Female,Not applicable,Number,162017
Mexico,2000,Female,Not applicable,Number,152994
Mexico,2000,All genders,Not applicable,Number,299146
Mexico,1999,All genders,Not applicable,Number,274648
Mexico,1999,Female,Not applicable,Number,140544
Micronesia,1999,All genders,Not applicable,Number,139
Moldova,2013,All genders,Not applicable,Number,34806
Moldova,2013,Female,Not applicable,Number,20750
Moldova,2012,Female,Not applicable,Number,21150
Moldova,2012,All genders,Not applicable,Number,35574
Moldova,2011,All genders,Not applicable,Number,36026
Moldova,2011,Female,Not applicable,Number,21635
Moldova,2010,Female,Not applicable,Number,20726
Moldova,2010,All genders,Not applicable,Number,34376
Moldova,2009,All genders,Not applicable,Number,37117
Moldova,2008,All genders,Not applicable,Number,27056
Moldova,2008,Female,Not applicable,Number,15790
Moldova,2007,Female,Not applicable,Number,12446
Moldova,2007,All genders,Not applicable,Number,21606
Moldova,2006,All genders,Not applicable,Number,22998
Moldova,2006,Female,Not applicable,Number,13292
Moldova,2005,Female,Not applicable,Number,11386
Moldova,2005,All genders,Not applicable,Number,19588
Moldova,2004,All genders,Not applicable,Number,20341
Moldova,2004,Female,Not applicable,Number,11543
Moldova,2003,Female,Not applicable,Number,11902
Moldova,2003,All genders,Not applicable,Number,20207
Moldova,2002,All genders,Not applicable,Number,19686
Moldova,2002,Female,Not applicable,Number,11068
Moldova,2001,All genders,Not applicable,Number,19926
Moldova,2000,All genders,Not applicable,Number,16869
Moldova,1999,All genders,Not applicable,Number,15146
Monaco,2011,All genders,Not applicable,Number,0
Monaco,2011,Female,Not applicable,Number,0
Monaco,2010,Female,Not applicable,Number,0
Monaco,2010,All genders,Not applicable,Number,0
Monaco,2009,All genders,Not applicable,Number,0
Monaco,2009,Female,Not applicable,Number,0
Monaco,2008,Female,Not applicable,Number,0
Monaco,2008,All genders,Not applicable,Number,0
Monaco,2007,All genders,Not applicable,Number,0
Monaco,2007,Female,Not applicable,Number,0
Monaco,2006,Female,Not applicable,Number,0
Monaco,2006,All genders,Not applicable,Number,0
Monaco,2005,All genders,Not applicable,Number,0
Monaco,2005,Female,Not applicable,Number,0
Monaco,2004,Female,Not applicable,Number,0
Monaco,2004,All genders,Not applicable,Number,0
Monaco,2003,All genders,Not applicable,Number,0
Monaco,2003,Female,Not applicable,Number,0
Monaco,2002,Female,Not applicable,Number,0
Monaco,2002,All genders,Not applicable,Number,0
Monaco,2001,All genders,Not applicable,Number,0
Monaco,2001,Female,Not applicable,Number,0
Monaco,2000,Female,Not applicable,Number,0
Monaco,2000,All genders,Not applicable,Number,0
Monaco,1999,All genders,Not applicable,Number,0
Monaco,1999,Female,Not applicable,Number,0
Mongolia,2014,Female,Not applicable,Number,21662
Mongolia,2014,All genders,Not applicable,Number,33850
Mongolia,2013,All genders,Not applicable,Number,37749
Mongolia,2013,Female,Not applicable,Number,24339
