Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
Aruba,1999,Female,Not applicable,Number,112
Australia,2014,Female,Not applicable,Number,245082.999999
Australia,2014,All genders,Not applicable,Number,422842
Australia,2011,All genders,Not applicable,Number,386625
Australia,2011,Female,Not applicable,Number,221467
Australia,2010,Female,Not applicable,Number,199927
Australia,2010,All genders,Not applicable,Number,353419
Australia,2009,All genders,Not applicable,Number,326787
Australia,2009,Female,Not applicable,Number,184470
Australia,2008,Female,Not applicable,Number,171633
Australia,2008,All genders,Not applicable,Number,306901
Australia,2007,All genders,Not applicable,Number,295885
Australia,2007,Female,Not applicable,Number,165372
Australia,2006,Female,Not applicable,Number,157917
Australia,2006,All genders,Not applicable,Number,282854
Australia,2005,All genders,Not applicable,Number,269253
Australia,2005,Female,Not applicable,Number,150893
Australia,2003,Female,Not applicable,Number,139025
Australia,2003,All genders,Not applicable,Number,250479
Australia,2002,All genders,Not applicable,Number,237290
Australia,2002,Female,Not applicable,Number,131152
Australia,2001,Female,Not applicable,Number,119538
Australia,2001,All genders,Not applicable,Number,216755
Australia,2000,All genders,Not applicable,Number,168913
Australia,2000,Female,Not applicable,Number,94879
Australia,1999,Female,Not applicable,Number,85230
Australia,1999,All genders,Not applicable,Number,151862
Austria,2014,All genders,Not applicable,Number,81989.598484
Austria,2014,Female,Not applicable,Number,45467.166666
Austria,2013,Female,Not applicable,Number,47745.916667
Austria,2013,All genders,Not applicable,Number,85278.416666
Austria,2012,All genders,Not applicable,Number,69385
Austria,2012,Female,Not applicable,Number,38154
Austria,2011,Female,Not applicable,Number,33852
Austria,2011,All genders,Not applicable,Number,63754
Austria,2010,All genders,Not applicable,Number,57538
Austria,2010,Female,Not applicable,Number,29632
Austria,2009,Female,Not applicable,Number,27508
Austria,2009,All genders,Not applicable,Number,52157
Austria,2008,All genders,Not applicable,Number,43645
Austria,2008,Female,Not applicable,Number,22535
Austria,2007,Female,Not applicable,Number,19110
Austria,2007,All genders,Not applicable,Number,36429
Austria,2006,All genders,Not applicable,Number,34825
Austria,2006,Female,Not applicable,Number,17994
Austria,2005,Female,Not applicable,Number,17000
Austria,2005,All genders,Not applicable,Number,32925
Austria,2004,All genders,Not applicable,Number,30809
Austria,2004,Female,Not applicable,Number,15581
Austria,2003,Female,Not applicable,Number,14861
Austria,2003,All genders,Not applicable,Number,29176
Austria,2001,All genders,Not applicable,Number,27099
Austria,2001,Female,Not applicable,Number,13965
Austria,2000,Female,Not applicable,Number,11855
Austria,2000,All genders,Not applicable,Number,24981
Azerbaijan,2014,All genders,Not applicable,Number,47524
Azerbaijan,2014,Female,Not applicable,Number,24930
Azerbaijan,2013,Female,Not applicable,Number,27426
Azerbaijan,2013,All genders,Not applicable,Number,52875
Azerbaijan,2012,All genders,Not applicable,Number,47038
Azerbaijan,2012,Female,Not applicable,Number,24508
Azerbaijan,2011,Female,Not applicable,Number,25112
Azerbaijan,2011,All genders,Not applicable,Number,47345
Azerbaijan,2010,All genders,Not applicable,Number,51090
Azerbaijan,2010,Female,Not applicable,Number,27498
Azerbaijan,2009,Female,Not applicable,Number,27140
Azerbaijan,2009,All genders,Not applicable,Number,50386
Azerbaijan,2008,All genders,Not applicable,Number,49196
Azerbaijan,2008,Female,Not applicable,Number,26304
Bahrain,2014,Female,Not applicable,Number,3322
Bahrain,2014,All genders,Not applicable,Number,5466
Bahrain,2011,All genders,Not applicable,Number,10497
Bahrain,2006,All genders,Not applicable,Number,2881
Bahrain,2006,Female,Not applicable,Number,1955
Bahrain,2005,Female,Not applicable,Number,2161
Bahrain,2005,All genders,Not applicable,Number,3184
Bahrain,2003,All genders,Not applicable,Number,2555
Bahrain,2003,Female,Not applicable,Number,1777
Bangladesh,2014,Female,Not applicable,Number,137894.936349
Bangladesh,2014,All genders,Not applicable,Number,329181
Bangladesh,2012,All genders,Not applicable,Number,316024
Bangladesh,2012,Female,Not applicable,Number,131973
Bangladesh,2011,All genders,Not applicable,Number,302965
Bangladesh,2008,All genders,Not applicable,Number,184911
Bangladesh,2003,All genders,Not applicable,Number,190030
Bangladesh,2003,Female,Not applicable,Number,62232
Bangladesh,2002,Female,Not applicable,Number,58837
Bangladesh,2002,All genders,Not applicable,Number,187322
Bangladesh,2000,All genders,Not applicable,Number,138824
Bangladesh,1999,All genders,Not applicable,Number,147972
Barbados,2011,All genders,Not applicable,Number,2389
Barbados,2011,Female,Not applicable,Number,1634
Barbados,2010,All genders,Not applicable,Number,2263
Barbados,2009,All genders,Not applicable,Number,2413
Barbados,2009,Female,Not applicable,Number,1667
Barbados,2007,Female,Not applicable,Number,1287
Barbados,2007,All genders,Not applicable,Number,1733
Barbados,2001,All genders,Not applicable,Number,920
Barbados,2001,Female,Not applicable,Number,607
Barbados,1999,Female,Not applicable,Number,1134
Barbados,1999,All genders,Not applicable,Number,1608
Belarus,2014,All genders,Not applicable,Number,134934
Belarus,2014,Female,Not applicable,Number,78892
Belarus,2013,Female,Not applicable,Number,83584
Belarus,2013,All genders,Not applicable,Number,137464
Belarus,2012,All genders,Not applicable,Number,126028
Belarus,2012,Female,Not applicable,Number,76266
Belarus,2011,Female,Not applicable,Number,73278
Belarus,2011,All genders,Not applicable,Number,122134
Belarus,2010,All genders,Not applicable,Number,120197
Belarus,2010,Female,Not applicable,Number,47953
Belarus,2009,Female,Not applicable,Number,35397
Belarus,2009,All genders,Not applicable,Number,115879
Belarus,2008,All genders,Not applicable,Number,112882
Belarus,2007,All genders,Not applicable,Number,108251
Belarus,2007,Female,Not applicable,Number,62972
Belarus,2006,Female,Not applicable,Number,61507
Belarus,2006,All genders,Not applicable,Number,105273
Belarus,2005,All genders,Not applicable,Number,102033
Belarus,2005,Female,Not applicable,Number,59295
Belarus,2004,Female,Not applicable,Number,58935
Belarus,2004,All genders,Not applicable,Number,100397
Belarus,2003,All genders,Not applicable,Number,95469
Belarus,2003,Female,Not applicable,Number,55968
Belarus,2002,All genders,Not applicable,Number,91299
Belarus,2002,Female,Not applicable,Number,52691
Belarus,2001,Female,Not applicable,Number,48831
Belarus,2001,All genders,Not applicable,Number,84011
Belarus,2000,All genders,Not applicable,Number,77646
Belarus,2000,Female,Not applicable,Number,43791
Belarus,1999,Female,Not applicable,Number,44714
Belarus,1999,All genders,Not applicable,Number,75193
Belgium,2013,All genders,Not applicable,Number,107884
Belgium,2013,Female,Not applicable,Number,63749
Belgium,2012,Female,Not applicable,Number,65484
Belgium,2012,All genders,Not applicable,Number,110419
Belgium,2011,All genders,Not applicable,Number,105271
Belgium,2011,Female,Not applicable,Number,62130
