;;;;;;;Burglary breaking and entering at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Burglary” means gaining unauthorised access to a part of a building/dwelling or other premises, including by use of force, with the intent to steal goods (breaking and entering). “Burglary” should include, where possible, theft from a house, appartment or other dwelling place, factory, shop or office, from a military establishment, or by using false keys. It should exclude theft from a car, from a container, from a vending machine, from a parking meter and from fenced meadow/compound.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
Asia;Central Asia;Kazakhstan;;;;34.827;29.499;30.714;28.338;32.341;58.168;;;;;;;;223,2;187,2;193,0;176,0;198,3;351,4;;;
;;Kyrgyzstan*;;;1.070;1.050;1.090;1.100;;3.694;8.600;7.890;2.703;1.354;;;;20,9;20,3;20,8;20,8;;67,6;154,8;139,7;47,0;23,2
;;Tajikistan;;;;683;922;480;568;659;614;;;;;;;;9,8;13,0;6,6;7,7;8,7;7,9;;;
;Eastern Asia;Hong Kong Special Administrative Region of China;9.076;7.002;5.492;5.315;4.512;4.774;4.489;4.543;4.382;4.214;3.573;;;132,5;102,3;80,3;77,5;65,6;69,1;64,6;65,0;62,2;59,3;49,9;
;;Japan;333.233;290.595;244.776;205.463;175.728;155.281;148.772;136.750;126.382;115.337;107.313;93.566;;263,4;229,2;192,8;161,6;138,1;122,0;116,8;107,4;99,3;90,7;84,5;73,8
;;Macao Special Administrative Region of China*;;;;;;542;272;201;237;153;125;128;;;;;;;106,8;52,2;37,6;43,4;27,4;22,0;22,1
;;Mongolia;;;;4.988;5.912;5.031;5.136;3.784;3.760;4.013;4.799;3.954;;;;;195,0;228,0;191,3;192,4;139,5;136,3;142,9;167,8;135,9
;;Republic of Korea;;;;84.371;96.814;98.218;111.716;108.920;100.086;90.954;89.280;82.320;;;;;176,1;200,8;202,5;228,9;221,9;202,8;183,3;179,1;164,4
;South-Eastern Asia;Brunei Darussalam;336;498;405;550;;;;;;;;;;96,1;140,0;111,9;149,4;;;;;;;;
;;Indonesia;;;;;;61.168;63.913;53.734;49.988;46.977;46.064;42.699;;;;;;;26,0;26,8;22,2;20,4;18,9;18,3;16,8
;;Malaysia;;;24.465;27.313;;;;;;;;;;;;94,8;104,0;;;;;;;;
;;Singapore;1.337;1.237;1.465;1.123;866;836;942;820;637;545;507;311;;31,4;28,3;32,6;24,3;18,3;17,2;19,0;16,1;12,3;10,3;9,4;5,6
;;Thailand;;;;;;;;6.440;5.980;6.006;5.593;5.478;;;;;;;;;9,7;8,9;8,9;8,3;8,1
;;Myanmar;;;;;;;7;11;158;35;39;;;;;;;;;0,0;0,0;0,3;0,1;0,1;
;Southern Asia;Bangladesh;;;3.252;3.410;;;;;;;;;;;;2,3;2,4;;;;;;;;
;;Bhutan;;;;;;;395;438;412;368;467;311;;;;;;;;55,8;60,8;56,3;49,5;61,9;40,7
;;India;;92.490;90.108;91.666;91.218;93.742;92.070;90.179;92.504;92.892;104.401;;;;8,2;7,9;7,9;7,7;7,8;7,6;7,3;7,4;7,4;8,2;
;;Maldives;;;;;116;195;168;143;111;73;130;;;;;;;36,8;60,7;51,4;43,0;32,8;21,2;37,0;
;;Nepal;;;40;29;;;;;;;;;;;;0,2;0,1;;;;;;;;
;;Sri Lanka;16.768;17.133;;;;18.153;17.827;18.344;17.023;16.763;16.116;;;87,3;88,4;;;;91,0;88,8;90,8;83,8;82,1;78,5;
;Western Asia;Armenia;;1.930;1.728;2.047;1.933;2.221;2.464;2.423;2.420;1.932;2.101;;;;63,8;57,3;68,2;64,7;74,7;83,1;81,8;81,5;64,9;70,2;
;;Azerbaijan;757;837;222;141;;;99;110;702;585;937;1.092;;9,0;9,9;2,6;1,6;;;1,1;1,2;7,6;6,2;9,9;11,3
;;Bahrain;;;414;393;244;174;;;;;;;;;;47,8;41,8;23,8;15,6;;;;;;
;;Cyprus;3.155;3.326;2.829;3.068;2.642;2.587;2.504;3.232;3.379;2.953;2.676;2.333;;316,1;327,4;274,0;292,7;248,5;240,2;229,6;292,8;302,6;261,5;234,4;202,2
;;Georgia;;13.683;20.268;32.568;21.409;16.989;13.131;12.407;;;;1.605;;;302,4;452,9;735,3;488,1;391,2;305,5;291,9;;;;39,8
;;Israel;;58.471;60.270;57.159;50.443;43.332;;35.617;32.124;;;;;;903,7;912,7;846,2;728,9;610,8;;480,0;424,7;;;
;;Jordan;;;;;3;2;4;3;3;3;;;;;;;;0,1;0,0;0,1;0,0;0,0;0,0;;
;;Qatar;264;403;;;;;;;;;;;;39,5;55,0;;;;;;;;;;
;;State of Palestine;62;113;111;;;18;20;22;34;37;21;;;1,8;3,2;3,1;;;0,5;0,5;0,5;0,8;0,9;0,5;
;;Syrian Arab Republic;;;;;859;807;;;;;;;;;;;;4,4;4,0;;;;;;
;;Turkey;65.721;72.305;108.782;154.388;77.983;74.198;85.050;94.289;100.644;119.533;;;;99,5;108,0;160,3;224,7;112,2;105,5;119,3;130,4;136,9;159,7;;
;;United Arab Emirates;1.882;2.153;;;;;;;;;5.016;4.518;;51,9;54,2;;;;;;;;;55,5;49,7
;;Iraq (Central Iraq);;;;;;;;;;;225;191;;;;;;;;;;;;;
Europe;Eastern Europe;Belarus;;;20.048;30.927;;;;;;;;;;;;208,0;322,3;;;;;;;;
;;Bulgaria;28.210;25.565;22.379;23.460;22.208;19.980;23.682;24.005;20.272;16.781;17.163;15.327;;361,4;330,2;291,3;307,7;293,4;265,9;317,5;324,1;275,6;229,8;236,6;212,8
;;Czech Republic;68.901;64.695;57.956;53.503;54.925;53.381;54.848;58.758;59.672;55.554;62.384;49.304;;674,7;633,5;566,5;520,9;531,7;513,4;524,4;559,2;566,5;526,8;591,6;467,7
;;Hungary;46.971;44.679;42.588;39.620;40.846;43.002;37.698;44.250;45.273;46.857;37.688;29.883;;463,2;441,6;421,8;393,1;405,9;427,9;375,7;441,9;453,2;470,5;379,7;302,2
;;Poland;294.654;266.591;221.020;173.762;141.606;124.066;135.383;140.085;135.611;127.961;118.534;87.765;;766,3;693,3;574,6;451,6;367,8;322,0;351,2;363,2;351,4;331,4;306,9;227,3
;;Republic of Moldova;;3.247;6.072;3.852;3.566;3.599;3.014;4.523;6.103;5.849;2.267;6.122;;;77,9;146,0;92,9;86,4;87,5;73,6;110,7;149,7;143,5;55,6;150,3
;;Romania*;12.479;10.002;16.764;17.184;10.829;10.285;11.574;14.197;16.311;19.526;19.573;51.116;;57,4;46,4;78,3;81,0;51,6;49,6;56,4;69,9;81,1;97,9;98,9;260,1
;;Russian Federation;;291.442;308.778;278.379;398.960;413.244;381.211;356.373;314.243;276.528;246.173;235.677;;;202,3;215,0;194,2;278,6;288,7;266,3;248,9;219,4;193,0;171,7;164,3
;;Slovakia;21.783;26.685;20.828;19.044;17.148;15.159;15.394;14.783;12.884;11.855;11.167;9.427;;404,5;495,6;386,8;353,5;318,0;280,9;285,0;273,4;238,1;218,9;206,1;173,8
;Northern Europe;Denmark;100.991;90.943;76.865;71.583;78.752;93.607;107.140;96.704;92.937;80.895;78.897;69.617;;1.876,1;1.684,6;1.418,8;1.315,7;1.440,5;1.703,4;1.939,6;1.742,1;1.666,6;1.444,3;1.402,8;1.232,8
;;Finland;27.723;23.300;19.531;18.665;18.343;18.656;19.186;18.576;19.179;18.027;17.168;18.356;;531,7;445,6;372,3;354,4;346,8;351,1;359,3;346,1;355,4;332,3;314,8;335,0
;;Iceland*;2.889;2.769;2.244;2.365;2.277;2.731;3.524;2.866;1.900;1.374;1.092;;;996,8;944,8;756,2;786,0;745,5;880,9;1.121,1;901,1;591,8;424,9;335,6;
;;Ireland;25.160;24.913;26.381;24.788;23.603;24.682;26.910;25.420;27.695;28.133;26.218;27.575;;622,6;604,7;627,6;577,3;537,8;550,9;590,3;550,5;595,2;602,7;561,3;589,8
;;Latvia*;7.438;7.548;5.108;3.761;3.061;2.817;2.876;1.535;;977;955;612;;325,2;334,4;229,3;171,0;141,0;131,4;135,8;73,4;;48,0;47,5;30,8
;;Norway;30.755;27.474;25.535;22.674;21.414;22.014;23.676;21.298;17.983;17.391;15.740;14.890;;674,3;598,7;552,2;485,8;454,0;461,4;490,1;435,4;363,0;346,5;309,6;289,2
;;Sweden;122.700;119.287;113.604;99.718;96.980;94.278;95.824;92.722;94.316;88.066;85.453;88.798;;1.372,0;1.328,0;1.258,1;1.097,3;1.059,5;1.021,8;1.030,0;988,3;996,8;922,8;887,9;915,1
;;United Kingdom (England and Wales);820.013;680.358;645.068;622.012;583.710;581.584;540.645;522.683;501.048;459.795;443.212;411.454;;1.551,2;1.280,0;1.204,0;1.152,9;1.073,2;1.060,5;978,8;938,5;892,0;812,8;778,3;716,7
