;;;;;;;Total Sexual Offences against Children at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: ""Sexual offences against children"" means crimes of a sexual nature committed against children (according to the age defined in the ""Metadata"" section below). These crimes should include child pornography offences, procuring a child for prostitution, statutory rape of a person below the age of consent and other offences related to the sexual exploitation of children.";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 children aged 17 or under;;;;;;;;;;;
;;Israel;;2.950;2.890;2.883;2.846;2.841;;2.414;2.192;;;;;;139,0;133,7;131,4;127,4;124,7;;102,1;90,5;;;
;;State of Palestine;;;;;;;;13;13;11;;;;;;;;;;;0,6;0,6;0,5;;
;;Syrian Arab Republic;;;;;;17;;;;;;;;;;;;;0,2;;;;;;
;;Turkey;;;;;428;712;5.181;6.644;7.129;8.052;;;;;;;;1,8;3,1;22,4;28,6;30,4;34,0;;
;;United Arab Emirates;;;;;;;;;;57;121;133;;;;;;;;;;;3,8;8,1;8,8
;;Yemen;;;;;;;222;;;;;;;;;;;;;1,9;;;;;
Europe;Eastern Europe;Belarus;;62;62;57;90;79;120;92;88;87;182;132;;;3,1;3,2;3,0;4,9;4,4;6,8;5,3;5,1;5,0;10,4;7,5
;;Bulgaria;693;627;507;419;341;306;309;263;270;257;255;232;;48,5;45,3;37,8;32,1;26,8;24,5;25,0;21,5;22,2;21,3;21,2;19,4
;;Czech Republic;1.067;815;884;739;765;802;829;729;754;695;817;1.798;;54,6;42,4;46,6;39,2;40,8;43,0;44,7;39,5;41,0;37,9;44,7;98,3
;;Hungary*;598;368;432;309;295;845;1.077;804;410;915;5.522;480;;29,9;18,6;22,2;16,1;15,6;45,2;58,4;44,2;22,9;51,7;315,8;27,7
;;Poland;;;;;1.882;1.683;1.657;1.532;1.533;1.344;1.454;2.041;;;;;;24,7;22,5;22,6;21,2;21,5;19,0;20,8;29,4
;;Republic of Moldova;;79;135;134;140;126;109;191;151;265;167;278;;;7,4;13,3;13,7;14,9;13,8;12,3;22,2;18,0;32,4;20,9;35,3
;;Romania*;;;;;588;623;682;683;;732;876;570;;;;;;14,4;15,7;17,4;17,7;;19,3;23,4;15,4
;;Russian Federation;;5.981;7.608;9.678;8.805;9.098;10.212;9.524;10.624;8.825;8.490;9.989;;;20,0;26,4;34,6;32,4;34,2;38,9;36,4;40,7;33,5;31,8;36,8
;;Slovakia;;;;474;454;470;481;421;610;543;508;586;;;;;42,3;41,4;43,8;45,7;40,8;59,9;54,1;51,1;59,4
;;Ukraine;375;320;345;350;369;437;331;259;;;;;;4,0;3,5;3,9;4,1;4,4;5,3;4,1;3,3;;;;
;Northern Europe;Estonia;;;;244;148;260;;;;;;;;;;;93,9;58,3;104,1;;;;;;
;;Finland*;744;846;946;1.043;1.025;1.460;1.225;1.195;1.810;1.755;1.906;1.602;;67,0;76,5;85,8;94,7;93,2;133,1;112,1;109,9;167,0;162,6;177,1;149,0
