;;;;;;;Assault at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: ""Assault"" means physical attack against the body of another person resulting in serious bodily injury, excluding indecent/sexual assault, threats and slapping/punching. 'Assault' leading to death should also be excluded. ";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;Italy;;51.823;56.629;59.143;63.602;65.791;65.611;64.866;68.500;69.527;66.317;66.178;;;88,8;96,5;100,4;107,5;110,9;110,3;108,9;114,8;116,4;111,0;110,7
;;Kosovo under UNSCR 1244;;;;;;3.376;3.539;3.760;3.743;3.805;653;911;;;;;;;187,0;195,0;205,9;203,8;205,9;35,1;48,7
;;Malta*;;;;;;196;173;180;181;174;218;160;;;;;;;48,2;42,2;43,7;43,7;41,9;52,3;38,3
;;Montenegro*;141;150;155;164;;196;186;193;161;168;173;129;;23,0;24,4;25,1;26,6;;31,6;30,0;31,0;25,8;26,9;27,7;20,6
;;Portugal;44.304;41.716;39.220;39.998;37.389;33.494;33.205;30.816;28.775;27.178;25.698;24.869;;425,9;399,5;374,2;380,3;354,4;316,7;313,5;291,1;272,5;258,5;245,7;239,1
;;Serbia;;;1.614;1.657;1.681;1.582;1.442;1.391;1.309;1.323;1.286;1.147;;;;17,6;18,1;18,4;17,4;15,9;15,4;14,5;14,7;14,4;12,9
;;Slovenia;2.400;2.379;2.304;2.431;2.482;2.135;2.177;2.182;1.974;2.032;1.849;1.657;;120,7;119,5;115,4;121,2;123,0;105,1;106,6;106,3;95,9;98,5;89,5;80,2
;;Spain*;;;172.824;180.706;70.536;72.803;80.910;25.077;18.290;17.353;16.701;16.776;;;;394,1;405,7;156,0;158,9;174,8;53,8;39,2;37,2;36,0;36,3
;;The former Yugoslav Rep. of Macedonia;;;;441;349;213;228;248;239;211;216;215;;;;;21,5;17,0;10,4;11,1;12,0;11,6;10,2;10,4;10,4
;;Holy See;;;;;;;0;0;0;0;0;0;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0
;Western Europe;Austria;;3.584;3.611;3.577;3.878;3.945;4.023;3.606;3.897;4.030;3.734;3.640;;;43,7;43,9;43,3;46,7;47,4;48,1;43,0;46,3;47,7;44,0;42,7
;;Belgium;61.959;64.811;67.418;70.886;74.289;76.314;77.665;77.741;78.767;72.251;69.632;69.162;;594,3;617,7;638,3;666,7;694,0;708,0;715,5;711,3;715,7;652,1;624,3;616,1
;;France*;135.003;137.679;148.651;164.359;175.886;187.937;220.126;220.372;219.645;222.061;221.899;227.338;;223,3;226,2;242,7;266,8;283,8;301,6;351,4;350,0;347,2;349,4;347,6;354,5
;;Germany*;445.727;474.575;494.329;510.775;523.283;518.499;149.301;142.903;139.091;136.077;127.869;125.752;;546,4;582,9;608,4;630,2;647,2;642,8;185,4;177,7;172,9;169,1;158,7;155,9
;;Liechtenstein;61;70;71;77;68;88;90;77;78;69;103;120;;177,9;202,5;203,7;219,1;191,9;246,4;250,0;212,3;213,5;187,5;278,1;321,8
;;Luxembourg;;;;1.811;2.030;2.317;2.350;2.475;2.744;2.994;3.018;3.187;;;;;389,0;427,6;477,7;473,5;487,3;527,7;562,3;553,9;572,6
;;Monaco;94;129;155;140;;;;;;;;;;285,2;386,9;458,5;407,2;;;;;;;;
;;Netherlands*;53.500;55.300;67.060;69.185;71.570;69.005;65.690;60.280;59.425;57.325;52.855;50.335;;330,9;340,2;410,6;421,8;434,7;417,7;396,3;362,4;356,1;342,3;314,4;298,4
;;Switzerland*;6.732;8.198;8.099;9.272;9.644;8.893;524;487;487;597;568;609;;92,3;111,6;109,3;124,0;127,6;116,3;6,8;6,2;6,1;7,4;7,0;7,4
Oceania;Australia and New Zealand;Australia;;;;;;68.019;71.972;71.914;69.473;;;;;;;;;;318,3;330,6;324,5;308,2;;;
;;New Zealand;;;9.683;10.140;11.569;11.948;11.941;11.260;10.806;10.165;8.951;9.900;;;;234,2;242,1;273,0;278,8;275,8;257,7;245,3;229,2;200,5;220,2
;Melanesia;Solomon Islands;;1.207;1.213;1.168;1.184;1.097;;;;;;;;;263,6;258,5;243,0;240,6;217,9;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
* Changes in definitions and/or counting rules are reported by the Member State to indicate a break in the time series.;;;;;;;;;;;;;;;;;;;;;;;;;;;
