;;;;;;;Robbery at the national level, number of police-recorded offences;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Robbery”  means the theft of property from a person, overcoming resistance by force or threat of force. Where possible, the category “Robbery” should include muggings (bag-snatching) and theft with violence, but should exclude pick pocketing and extortion.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;Lebanon;;;;;;5;16;22;23;54;29;20;;;;;;;0,1;0,4;0,5;0,5;1,1;0,5;0,4
;;Oman;;;;;133;255;;;;;;;;;;;;5,1;9,6;;;;;;
;;Qatar;21;21;;;;;;;;;;;;3,1;2,9;;;;;;;;;;
;;State of Palestine*;49;65;204;;;2.770;2.874;2.843;2.297;1.996;3.734;;;1,4;1,9;5,7;;;71,9;72,6;69,9;54,9;46,4;84,5;
;;Syrian Arab Republic;505;555;760;854;744;870;;;;;;;;2,9;3,1;4,2;4,6;3,8;4,3;;;;;;
;;Turkey;16.679;10.082;14.353;20.516;12.664;8.893;8.698;8.581;9.662;10.303;;;;25,2;15,1;21,2;29,9;18,2;12,6;12,2;11,9;13,1;13,8;;
;;United Arab Emirates;396;437;429;557;;;;;;45;719;715;;10,9;11,0;9,6;10,8;;;;;;0,5;8,0;7,9
;;Yemen;;;;287;310;417;442;;;;;;;;;;1,4;1,4;1,9;1,9;;;;;
Europe;Eastern Europe;Belarus;10.307;10.692;11.562;9.793;8.816;6.696;5.722;4.735;3.641;2.656;2.770;2.460;;105,6;110,3;119,9;102,1;92,3;70,3;60,2;49,9;38,4;28,0;29,2;25,9
;;Bulgaria;4.933;4.131;3.754;2.875;2.996;2.868;3.596;3.737;3.110;2.955;2.977;2.326;;63,2;53,4;48,9;37,7;39,6;38,2;48,2;50,5;42,3;40,5;41,0;32,3
;;Czech Republic;5.508;6.107;5.550;4.783;4.856;4.641;4.687;4.019;3.881;3.416;3.051;2.547;;53,9;59,8;54,2;46,6;47,0;44,6;44,8;38,3;36,8;32,4;28,9;24,2
;;Hungary;3.289;3.227;2.982;2.709;3.119;3.128;3.159;3.396;3.203;3.036;2.298;1.954;;32,4;31,9;29,5;26,9;31,0;31,1;31,5;33,9;32,1;30,5;23,2;19,8
;;Poland;51.688;48.636;42.150;35.182;22.766;21.085;19.267;19.359;17.729;16.685;12.389;9.441;;134,4;126,5;109,6;91,4;59,1;54,7;50,0;50,2;45,9;43,2;32,1;24,4
;;Republic of Moldova;;;188;152;153;175;205;185;152;167;146;125;;;;4,5;3,7;3,7;4,3;5,0;4,5;3,7;4,1;3,6;3,1
;;Romania*;2.782;3.087;3.326;4.078;2.496;2.464;2.541;2.484;2.251;3.193;2.933;6.418;;12,8;14,3;15,5;19,2;11,9;11,9;12,4;12,2;11,2;16,0;14,8;32,7
;;Russian Federation;;251.433;344.440;357.302;295.071;243.957;205.379;164.547;127.772;110.063;92.069;77.725;;;174,6;239,8;249,3;206,1;170,5;143,5;114,9;89,2;76,8;64,2;54,2
;;Slovakia;1.918;2.156;1.919;1.594;1.429;1.371;1.358;1.188;851;974;836;680;;35,6;40,0;35,6;29,6;26,5;25,4;25,1;22,0;15,7;18,0;15,4;12,5
;;Ukraine;36.486;40.789;47.050;41.657;32.266;36.927;27.598;23.300;;;;;;76,8;86,6;100,5;89,6;69,8;80,2;60,2;51,0;;;;
;Northern Europe;Denmark;3.181;2.989;2.921;2.650;2.982;3.397;4.020;3.369;3.273;2.987;3.192;2.315;;59,1;55,4;53,9;48,7;54,5;61,8;72,8;60,7;58,7;53,3;56,8;41,0
;;Estonia;1.885;1.632;1.326;1.005;887;909;726;599;525;457;476;360;;137,3;119,7;97,8;74,5;66,0;67,8;54,3;45,0;39,5;34,5;36,1;27,4
;;Finland;2.045;2.017;1.814;1.700;1.784;1.696;1.640;1.508;1.622;1.616;1.524;1.689;;39,2;38,6;34,6;32,3;33,7;31,9;30,7;28,1;30,1;29,8;27,9;30,8
;;Iceland;39;35;49;50;42;43;60;42;42;50;49;;;13,5;11,9;16,5;16,6;13,8;13,9;19,1;13,2;13,1;15,5;15,1;
;;Ireland;1.714;2.617;2.424;2.486;2.171;2.299;2.491;3.196;2.931;2.817;2.806;2.648;;42,4;63,5;57,7;57,9;49,5;51,3;54,6;69,2;63,0;60,3;60,1;56,6
;;Latvia;2.503;2.467;2.163;2.248;1.468;1.441;1.516;1.072;1.047;943;917;809;;109,4;109,3;97,1;102,2;67,6;67,2;71,6;51,3;50,7;46,3;45,6;40,7
;;Lithuania;4.919;5.323;5.206;4.343;3.802;3.452;3.363;2.727;2.502;1.923;1.866;1.688;;144,4;157,6;155,7;131,4;116,5;107,2;106,0;87,3;81,5;63,7;63,0;57,9
;;Norway*;1.437;1.596;1.448;1.388;1.464;1.598;1.776;1.687;1.623;1.484;1.667;1.063;;31,5;34,8;31,3;29,7;31,0;33,5;36,8;34,5;32,8;29,6;32,8;20,6
;;Sweden;8.575;8.590;9.398;8.584;8.673;8.909;9.570;9.219;9.719;9.213;8.361;8.364;;95,9;95,6;104,1;94,5;94,8;96,6;102,9;98,3;102,7;96,5;86,9;86,2
;;United Kingdom (England and Wales);103.736;91.010;98.198;101.376;84.773;80.130;75.105;76.189;74.688;65.155;57.828;50.236;;196,2;171,2;183,3;187,9;155,9;146,1;136,0;136,8;133,0;115,2;101,5;87,5
;;United Kingdom (Northern Ireland);2.187;1.531;1.691;1.624;1.267;1.149;1.315;1.349;1.269;1.040;969;906;;128,3;89,3;97,9;93,2;71,9;64,6;73,3;74,7;69,9;57,0;53,0;49,2
;;United Kingdom (Scotland);4.159;3.736;3.553;3.578;3.064;2.963;2.496;2.557;2.244;1.832;1.499;1.497;;82,1;73,5;69,5;69,7;59,3;56,9;47,7;48,6;42,3;34,5;28,1;28,0
;Southern Europe;Albania;;;199;164;123;144;169;236;268;326;371;297;;;;6,5;5,4;4,1;4,9;5,8;8,1;9,3;11,3;12,9;10,3
;;Andorra;;;;;4;4;12;8;5;6;13;7;;;;;;4,7;4,7;14,0;9,5;6,1;7,6;17,1;9,6
;;Bosnia and Herzegovina;;;756;773;796;746;;;975;1.010;1.103;1.025;;;;19,7;20,1;20,7;19,4;;;25,4;26,4;28,8;26,8
;;Croatia;1.236;1.622;1.560;1.445;1.272;1.259;1.411;1.245;1.382;1.588;1.523;1.268;;28,2;37,0;35,6;33,1;29,2;29,0;32,6;28,8;32,1;37,0;35,7;29,8
